AreaId;Receipt;TransactionDate;BeginHour;EAN;Quantity;PersonAgeGrp;KCustomer;QualClass;EasyClass
1;356601823178935;2017-11-07;17;5410103915654;1,000000;55-64;6715;Q_1-3;E_4-7
1;356629240622521;2017-11-07;18;24000017677;1,000000;45-54;6715;Q_1-3;E_4-7
1;356480208139261;2017-11-06;18;6410405118639;10,000000;65-;6715;Q_4-7;E_1-3
1;356489421245203;2017-11-06;11;2000973900008;2,000000;55-64;6715;Q_1-3;E_8-10
1;356147407872973;2017-11-03;18;6415131402311;2,000000;65-;6715;Q_8-10;E_1-3
1;356055401728753;2017-11-03;18;6410405082626;2,000000;55-64;6715;Q_4-7;E_8-10
1;356622107587579;2017-11-07;10;2000588800007;2,000000;65-;6715;Q_1-3;E_1-3
1;356519574841916;2017-11-06;10;6415600026628;2,000000;65-;6715;Q_4-7;E_8-10
1;356288878993071;2017-11-04;12;6431903315252;1,000000;55-64;6715;Q_4-7;E_1-3
1;356162723075200;2017-11-03;15;6410405095893;1,000000;;6715;Q_4-7;E_1-3
1;355782095486801;2017-11-01;12;6408430000494;2,000000;;6715;Q_4-7;E_4-7
1;356509977338853;2017-11-06;8;6437005058516;2,000000;65-;6715;Q_4-7;E_1-3
1;355806362094304;2017-11-01;13;2000265000003;0,424000;55-64;6715;Q_4-7;E_1-3
1;356057114154137;2017-11-03;13;2387975700004;1,030000;45-54;6715;Q_1-3;E_8-10
1;356158567481622;2017-11-03;14;6407860063956;2,000000;65-;6715;Q_4-7;E_8-10
1;355936189143349;2017-11-02;11;6438242999693;2,000000;55-64;6715;Q_1-3;E_1-3
1;356366386765078;2017-11-05;14;6416021000389;1,000000;45-54;6715;Q_1-3;E_8-10
1;356117839247694;2017-11-03;11;6417700050251;1,000000;65-;6715;Q_8-10;E_4-7
1;355917663753680;2017-11-02;15;2000528000009;1,381000;65-;6715;Q_4-7;E_8-10
1;356658519480042;2017-11-07;12;6410405142610;1,000000;45-54;6715;Q_1-3;E_8-10
1;356315622271778;2017-11-04;10;6410405045010;2,000000;65-;6715;Q_1-3;E_1-3
1;355835341643476;2017-11-01;14;6410405044860;1,000000;55-64;6715;Q_4-7;E_1-3
1;356507836585249;2017-11-06;14;6416453028302;1,000000;45-54;6715;Q_1-3;E_8-10
1;355896377360969;2017-11-02;10;6430064400814;1,000000;65-;6715;Q_4-7;E_1-3
1;356601823178935;2017-11-07;17;6410105905195;1,000000;55-64;6715;Q_1-3;E_4-7
1;356629240622521;2017-11-07;18;6410405071507;1,000000;45-54;6715;Q_1-3;E_4-7
1;356480208139261;2017-11-06;18;6438706171245;1,000000;65-;6715;Q_4-7;E_1-3
1;356489421245203;2017-11-06;11;6415600541183;2,000000;55-64;6715;Q_1-3;E_8-10
1;356493232711835;2017-11-06;9;6408430000241;3,000000;65-;6715;Q_4-7;E_4-7
1;356147407872973;2017-11-03;18;6410381095542;1,000000;65-;6715;Q_8-10;E_1-3
1;356055401728753;2017-11-03;18;2000617800008;0,894000;55-64;6715;Q_4-7;E_8-10
1;356519574841916;2017-11-06;10;2000680900001;0,910000;65-;6715;Q_4-7;E_8-10
