AreaId;Receipt;TransactionDate;BeginHour;EAN;Quantity;PersonAgeGrp;KCustomer;QualClass;EasyClass
1;356601823178935;2017-11-07;17;5410103915654;1,000000;55-64;6715;Q_1-3;E_4-7
1;356629240622521;2017-11-07;18;24000017677;1,000000;45-54;6715;Q_1-3;E_4-7
1;356480208139261;2017-11-06;18;6410405118639;10,000000;65-;6715;Q_4-7;E_1-3
1;356489421245203;2017-11-06;11;2000973900008;2,000000;55-64;6715;Q_1-3;E_8-10
1;356147407872973;2017-11-03;18;6415131402311;2,000000;65-;6715;Q_8-10;E_1-3
1;356055401728753;2017-11-03;18;6410405082626;2,000000;55-64;6715;Q_4-7;E_8-10
1;356622107587579;2017-11-07;10;2000588800007;2,000000;65-;6715;Q_1-3;E_1-3
1;356519574841916;2017-11-06;10;6415600026628;2,000000;65-;6715;Q_4-7;E_8-10
1;356288878993071;2017-11-04;12;6431903315252;1,000000;55-64;6715;Q_4-7;E_1-3
1;356162723075200;2017-11-03;15;6410405095893;1,000000;65-;6715;Q_4-7;E_1-3
